黄芩,None,防风,None
防风,4.5g,白芷,4.5g
天南星,None,防风,None
黄芩,None,防风,None
防风,3g,黄芩,9g,阿胶,15g
远志,None,干防风,15g
草乌,None,细辛,None,防风,None
防风,30g,五灵脂,60g,川乌头,60g
防风,0.6g,羌活,0.9g,红豆,2个
防风,30g,黄芪,60g,白术,60g
地骨皮,30g,防风,30g,炙甘草,7.5g
地骨皮,30g,防风,30g,甘草,15g
防风,30g,芍药,30g,黄芩,30g
牡蛎,90g,白术,90g,防风,90g
川乌,60g,防风,60g,雄黄,30g
川花椒,3g,北细辛,3g,香白芷,3.6g,防风,6g
黄芩,15g,大黄,15g,防风,15g,薄荷,15g
干葛,None,防风,None,石膏,None,甘草,None
大戟,90g,露蜂房,30g,细辛,30g,防风,15g
龙胆草,3g,防风,3g,甘草,3g,细辛,3g
防风,None,荆芥,None,甘草,None,牛蒡子,None
升麻,15g,荆芥穗,15g,防风,15g,细辛,30g
艾叶,62g,雄黄,6g,防风,62g,花椒,6g
甘菊花,None,旋覆花,None,防风,None,石膏,None
萆薢,None,防风,None,狗脊,None,乌头,None
天麻,30g,天南星,30g,防风,30g,薄荷叶,15g
茯苓,9g,防风,6g,麦冬,6g,黄芩,6g
地骨皮,60g,防风,30g,甘草,15g,麦冬,30g
大黄,None,荆芥穗,None,川芎,None,防风,None
当归,None,防风苗,None,蒺藜,None,牡丹皮,None
防风,90g,黄芩,90g,麦冬,90g,白茯苓,120g
防风,45g,蝉蜕,45g,猪牙皂荚,45g,天麻,60g
防己,9g,桂枝,10g,防风,9g,甘草,10g
防风,30g,当归,30g,川芎,30g,地黄,30g
麦冬,30g,防风,30g,茯苓,30g,人参,15g
防风,3g,黄柏,3g,柴胡,6g,苍术,9g
全当归,120g,酒黄连,120g,防风,60g,枳壳,60g
牡荆子,60g,防风,90g,皂荚,10挺,桑螵蛸,60g
黑牵牛,120g,甘草,120g,防风,30g,牛蒡子,240g
防风,None,苦参,None,何首乌,None,薄荷,None
羌活,30g,独活,30g,防风,30g,地榆,30g
羌活,500g,防风,500g,柴胡,500g,甘草,500g
天南星,30g,菊花,22.5g,自然铜,30g,防风,15g,川芎,30g
当归,None,红花,None,白芷,None,防风,None,南星,None
防风,30g,羌活,30g,全蝎,30g,薄荷,30g,荆芥,30g
黄芪,30g,赤小豆,30g,土蒺藜,15g,枳实,15g,防风,30g
车前子,30g,羚羊角屑,30g,防风,30g,菟丝子,30g,决明子,45g
牡蛎,22.5g,白术,30g,白芷,10.5g,甘草,9g,防风,15g
升麻,1.5g,桔梗,1.5g,甘草,1.5g,防风玄参,3g
苍术,120g,防风,6g,白术,3g,白茯苓,3g,白芍药,3g
乌雌鸡肉,75g,桂,52.5g,细辛,90g,防风,7.5g,干姜,75g
茯苓,30g,薏仁,30g,柴胡,6g,防风,3g,甘草,3g
轻粉,None,白附子,None,黄芩,None,白芷,None,防风,None
石膏,15g,栀子,30g,甘草,9g,防风,60g,豨莶草,120g
甘菊花,120g,防风,60g,蒺藜子,30g,恶实,30g,甘草,15g
白薇,15g,防风,9g,白蒺藜,9g,石榴皮,9g,羌活,9g
细辛,0.6g,炙甘草,1g,升麻,2.1g,防风,3g,草龙胆,12g
石膏,None,茵陈,None,黄芪,None,白术,None,防风,None
花椒,15g,川芎,15g,白芷,0.3g,防风,0.3g,干姜,0.3g
防风,60g,川芎,60g,天麻,60g,甘草,60g,朱砂,15g
防风,60g,苍耳,60g,苦参,60g,蒺藜子,60g,枳壳,30g
防风,30g,龙胆,30g,生地黄,60g,沉香,15g,升麻,15g
防风,30g,羌活,30g,全蝎,30g,薄荷,30g,荆芥,30g
升麻,None,葛根,None,防风,None,赤芍,None,甘草,None
当归,30g,红花,9g,赤芍,9g,白及,9g,防风,9g
麦麸,4.5g,防风,4.5g,白术,4.5g,牡蛎,4.5g,黄芪,4.5g
苏叶,4.5g,防风,4.5g,川芎,4.5g,陈皮,3g,甘草,2g
白术,500g,蔓荆子,30g,防风,30g,附子,15g,桂心,15g
皂荚,500g,防风,30g,独活,30g,甘草30,None,牛蒡子,30g
皂角刺,60g,臭樗皮,30g,防风,30g,赤芍药,30g,枳壳,30g
羌活,7.5g,玄参,7.5g,木通,7.5g,乌头,7.5g,防风,7.5g
附子,30g,黄芪,120g,甘草,15g,麻黄,150g,防风,15g
防风,15g,龙胆草,15g,铜青,9g,五倍子,6g,淡竹叶,1握
藿香叶,21.875g,山栀子仁,3g,石膏,15g,甘草,90g,防风,120g
石膏,15g,栀子仁,30g,甘草,90g,防风,60g,豨莶草,120g
全蝎,8个,防风,8g,僵蚕,15g,天麻,30g,川乌,1个,南星,1个
人参,None,麻黄,None,白术,None,防己,None,防风,None,桑白皮,None
南星,240g,防风,120g,独活,60g,附子,60g,全蝎,60g,甘草,60g
薄荷,500g,川芎,60g,防风,60g,桔梗,150g,砂仁,15g,甘草,120g
人参,1.5g,蔓荆子,1.5g,防风,3g,葛根,4.5g,黄芪,9g,甘草,12g
干山药,30g,生地黄,30g,人参,30g,茯苓,30g,防风,30g,泽泻,30g
川芎,2250.0g,龙脑薄荷叶,2250.0g,细辛,150g,防风,750g,桔梗,3000.0g,甘草,1050.0g
天竺黄,30g,防风,30g,钩藤,30g,白僵蚕,15g,干全蝎,15g,白附子,15g
天麻,60g,防风,60g,羌活,60g,甘菊花,60g,杏仁,60g,甘草,30g
僵蚕,3g,防风,9g,天萝子,27g,陈白梅,7个,胆矾,None,酸米醋,None
木通,45g,防风,30g,赤芍药,45g,白芷,22.5g,山栀子仁,30g,大黄,45g
当归,21g,熟地,21g,白芍,21g,川芎,120g,防风,21g,制苍术,21g
升麻,30g,葛根,30g,柴胡,30g,白芍,30g,防风,15g,甘草,15g
柴胡,9g,防风,3g,陈皮,4.5g,芍药,6g,甘草,3g,生姜,5片
南星,None,防风,None,白芷,None,天麻,None,羌活,None,禹白附,None
黄芪,15g,防风,15g,白茯苓,15g,白术,15g,麻黄根、节,15g,甘草,6g
白术,30g,附子,30g,甘草,30g,防风,30g,桂,90g,茯苓,15g
桔梗,2.5g,甘草,4.5g,射干,2g,牛蒡子,2g,防风,None,玄参,None
冰片,7.5g,秦皮,45g,防风,45g,细辛,45g,甘草,45g,宣黄连,45g
淫羊藿,60g,虎胫骨,60g,附子,60g,防风,60g,踯躅花,60g,牛膝,60g
生地黄,None,赤芍药,None,川芎,None,当归,None,防风,None,黄芩,None
白术,15g,厚朴,15g,甘菊花,15g,人参,30g,白芷,30g,防风,30g
白术,30g,酸枣仁,30g,麻黄根,60g,防风,30g,白龙骨,75g,黄芪,60g
白芥子,30g,防风,22.5g,安息香,30g,沉香,15g,补骨脂,30g,槟榔,15g
地黄,1000.0g,杏仁,250g,金钗石斛,120g,牛膝,120g,防风,120g,枳壳,120g
地黄,15g,鹿茸,15g,人参,45g,茯神,15g,防风,15g,甘草,30g
细辛,0.6g,川芎,1.5g,蔓荆子,1.5g,甘草,3g,白芷,3g,防风,4.5g
川芎,60g,薏苡仁,60g,细辛,30g,防风,30g,地骨皮,30g,柳枝,30g
黄芪,90g,当归,15g,防风,3g,羌活,3g,荆芥穗,4.5g,甘草,1.5g
荆芥,None,牛蒡子,None,甘草,None,防风,None,当归,None,赤芍药,None
防风,60g,冰片,60g,牡蛎,60g,五味子,30g,白芷,30g,细辛,30g
青梅,20枚,明矾,90g,桔梗,30g,白芷,30g,防风,30g,猪牙皂荚,30条
防风,15g,钟乳粉,15g,牛黄,15g,白术,15g,熟地黄,0.9g,甘草,0.9g
防风,30g,甘菊花,30g,牛蒡子,30g,白附子,30g,前胡,30g,石膏,60g
防风,15g,苍术,30g,石膏,30g,炙甘草,15g,川芎,7.5g,黄芩,7.5g
防风,None,陈皮,None,细辛,None,金银花,None,荆芥,None,枳壳,None
麦冬,15g,柴胡,15g,防风,15g,半夏,15g,赤茯苓,15g,犀角,15g
白芍,18g,白术,9g,防风,4.5g,陈皮,3g,黄芩,6g,葛根,3g
皂荚,10挺,羌活,60g,防风,90g,桂心,90g,附子,60g,干薄荷,120g
羌活,30g,肉桂,30g,附子,22g,当归,22g,防风,22g,牛膝,22g
羌活,None,独活,None,柴胡,None,防风,None,肉桂,None,当归,None
羌活,7.5g,山栀子仁,7.5g,防风,7.5g,甘草,10g,白蒺藜,15g,菊花,15g
羌活,None,防风,None,当归,None,生地,None,川芎,None,白芍药,None
附子,15g,桂心,15g,细辛,18g,防风,18g,人参,18g,干姜,18g
附子,15g,桂心,15g,细辛,18g,防风,18g,人参,18g,干姜,18g
附子,150g,黑豆,270g,天雄,150g,防风,90g,天麻,150g,川芎,150g
大附子,1枚,防风,30g,骨碎补,15g,汉防己白术,15g,乳香,6g
川芎,60g,防风,30g,郁金,30g,猪牙皂荚,30g,明矾,30g,蜈蚣,1条
夜明砂,None,木贼,None,防风,None,田螺壳,None,青木香,None,细辛,None
黄芩,30g,黄连,30g,防风,30g,山栀子,30g,大黄,15g,甘草,15g
细辛,7.5g,防风,7.5g,大黄,7.5g,黄芩,7.5g,花椒,15g,蜡,15g
人参,30g,石菖蒲,30g,川芎,30g,熟地黄,30g,细辛,30g,防风,15g,朱砂,15g
龙胆草,4.5g,黄连,3g,防风,3g,升麻,2.1g,草豆蔻,10粒,北细辛,0.6g,炙甘草,1.2g
紫荆皮,12g,荆芥穗,9g,薄荷叶,9g,僵蚕,6g,苦桔梗,6g,防风,6g,甘草,4.5g
山药,30g,防风,30g,细辛,30g,山茱萸,22.5g,蔓荆实,22.5g,芍药升麻,15g
天麻,None,半夏,None,防风,None,羌活胆星,None,僵蚕,None,全蝎,None
天麻,None,防风,None,甘草,None,川芎,None,羌活,None,白芷,None,麻黄,None
木通,30g,防风,15g,栀子仁,15g,川升麻,30g,石膏,60g,麻黄,23g,桂心,15g
马钱子,6个,土槿皮,60g,槟榔,7个,防风,6g,麝香,1g,冰片,1g,蜗牛,7个
升麻,22.5g,山茱萸,22.5g,甘菊花,15g,细辛,15g,蔓荆实,30g,山药,30g,防风,30g
南星,6g,苍术,4.5g,羌活,4.5g,川芎,2.4g,滑石,9g,半夏,4.5g,防风,4.5g
川乌头,250g,天麻,60g,黄芪,60g,当归,60g,羌活,60g,肉桂,90g,防风,60g
羌活,3g,秦艽,3g,白芍药,3g,防风,3g,当归,4.5g,川芎,4.5g,熟地黄,4.5g
大青梅,20个,猪牙皂,30条,桔梗,60g,防风,60g,净食盐,360g,块明矾,90g,白芷,60g
甘草,3g,防风,3g,荆芥,3g,薄荷,3g,黄芩,3g,桔梗,9g,玄参,3g
石膏,None,石决明,None,荆芥,None,白芷,None,川芎,None,防风,None,旋覆花,None
生地黄,30g,升麻,30g,川芎,30g,细辛,30g,露蜂房,30g,防风,30g,大皂荚,6g
生铁落,30g,石膏,15g,龙齿,15g,白茯苓,4.5g,防风,4.5g,玄参,3g,秦艽,3g
犀角,None,麻黄,None,防风,None,石决明,None,当归,None,楮实子,None,枸杞子,None
防风,None,荆芥,None,连翘,None,白芷,None,薄荷,None,赤芍,None,石膏,None
白杨皮,45g,地骨皮,30g,防风,15g,蔓荆子,30g,细辛,30g,杏仁,30枚,生地黄,60g
川芎,3g,荆芥,4.5g,防风,4.5g,桔梗,4.5g,柴胡,2.1g,黄芩,6g,当归尾,6g
生石膏,90g,青龙齿,45g,辰茯神,45g,防风,45g,玄参,30g,秦艽,30g,鲜生地,120g
干生地,500g,干熟地,500g,石斛,120g,防风,120g,枳壳,120g,牛膝,120g,杏仁,120g
川乌头,30g,天南星,30g,干姜,30g,甘草,60g,川芎,60g,防风,7.5g,天麻,15g
赤芍药,45g,羚羊角,30g,玄参,30g,防风,30g,黄芩,30g,蔓荆实,0.9g,甘菊花,0.9g
川芎,30g,白术,30g,天麻,30g,防风,15g,荆芥穗,15g,细辛,3g,甘草,7.5g
川芎,60g,菊花,30g,白芷,60g,细辛,15g,石膏,15g,防风,60g,甘草,15g
当归,6g,川芎,9g,熟地,9g,防风,9g,黄芪,9g,芍药,4.5g,甘草,1.2g
防风,2.3g,白芷,2.3g,白芍药,3g,熟地黄,3g,当归,3g,川芎,3g,羌活,2.3g
防己,60g,桂,60g,麻黄,60g,葛根,60g,甘草,30g,防风,30g,芍药,30g
防风,7.5g,白茯苓,7.5g,升麻,7.5g,贝母蒺藜子,7.5g,大黄,7.5g,甘草,7.5g
防风,30g,龙骨,60g,升麻,45g,赤芍药,45g,葛根,45g,石膏,45g
防风,2.4g,升麻,2.4g,青皮,1.5g,生地黄,1.5g,牡丹皮,1.5g,当归,1.5g,细辛,1.5g
生地黄,None,木通,None,防风,None,甘草,None,黄芩,None,赤芍,None,羌活,None
防风,30g,黄连,30g,谷精草,30g,黄芩,30g,甘草,30g,天南星,30g,蛤粉,4g
全蝎,7.5g,细辛,15g,藁本,15g,羌活,15g,川芎,15g,防风,15g,白花蛇,6g
木贼,None,苍术,None,白蒺藜,None,防风,None,羌活,None,川芎,None,甘草,None
