朝代,剂型,内服、外用,编号,方名,方源,组成　,防风量,功用,配伍功效,主治,制剂,用法,防风炮制,是否有量,药味数,病症（证）,方论,备注
清•董西园纂（1777）,散,内,2029.0,子芩防风散,《医级》卷九,黄芩(jiu炒)  防风各等分,等分,清热祛风止血,散肝舒脾(血崩、便血),肝经风热，以致血崩、便血及尿血、血淋。,上为细末,每次6g，食前温酒调服。,,n,2.0,,,
清•万潜斋编（1892）,硬膏,外,5405.0,白油膏,《寿世新编》卷中,防风  白芷各4．5g,4.5g,祛风胜湿，生肌收口。,祛风解表,臁疮数十年不愈；秃头疮。,"真桐油90g (fl)放油内泡一夜，入铁器内，慢火熬枯，
  去药沥净滓，将油再熬，俟欲开时，用鸡蛋一个去壳，
  放油内炸至深黄色，去蛋不用，再将油用火慢熬，俟
  油色极明，能照见人须眉，入白蜡1．8g，黄蜡1．2g
  熔化，赶紧用竹纸十余张，乘热浸入油内，一张放一
  张起，令透火气，须张张隔开，日前吹透，若放一处，
  虽数日火气难退，贴上毒气内逼，难以收功；","视疮大小裁纸贴之，顷刻脓粘满纸，弃
  去再换，一日数十余次。数日脓尽，肉满生肌，脓尽后
  不贴亦可生肌。脓多者黄蜡1．8g，白蜡1．5e，不得稍
  为增减。",,y,2.0,,,
唐•蔺道人,散,内、外,7016.0,至真散,仙授理伤续断秘方,天南星(炮)  防风各等分,等分,祛风解痉。,止痉(破伤风),破伤风，头痛，角弓反张。,上为末。,破伤风，将药敷贴疮口，以温酒调服3s5如牙关紧急，垂死而心头微温者，以童便调服6g。,,n,2.0,,,
宋•陈自ming,丸,内,8133.0,防风黄芩丸,"《校注妇人良方》卷十
    二",黄芩(炒焦)  防风各等分,等分,疏风清热,散肝舒脾(出血),"妇人肝经风热所致的吐血、衄血、便
血、血崩、漏胎。",上为细末，酒糊为丸，如梧桐子大。, 每次30一50丸，食远或食前用米饮或温酒送服。,,n,2.0,,,
宋•陈素庵著,汤,内,8144.0,防风黄芩二物汤,《陈素庵妇科补解》卷三,防风3g  黄芩9g　阿胶15g,3g,祛风清热，养血止血。,祛风宽肠,妊娠肠风下血。, 上药煎至200ml，去滓，入阿胶15g。,热服。,,y,3.0,,,
宋•张锐（1133年）,膏,内,8472.0,远志膏,《鸡峰普济方》卷二十五,远志  干防风15g,15g,解乌头、天麻、附子毒。,其它(解乌头、天麻、附子毒),服乌头、天麻、附子中毒。,"上为细末，用饴糖250g，同熬成膏，滤
去滓。",食后、临卧服弹子大1粒，含化。,,y,2.0,,,
清•赵学敏（1759）,其它,外,1680.0,千里鞋,《串雅外编》卷四,草乌  细辛  防风各等分,等分,消肿止痛。,胜湿止痛,远行足肿。,上为末。,掺鞋底内。如草鞋，以水微湿掺之。,,n,3.0,,,
朝鲜　明•jin礼蒙（1443）,丸,内,1893.0,小灵脂丸,《施圆端效方》引杜巨川方，见《医方类聚》卷二十四,防风30g  五灵脂  川乌头(炮，去皮)各60g,30g ,祛风散寒，活血化瘀。,胜湿止痛(风寒湿痹),风寒湿邪乘虚侵入经络，肢体疼痛，痹不能行。,上为细末，酒糊为丸，如梧桐子大。,每次7丸，食前酒送服，一日二次。,,y,3.0,,"风寒湿邪滞留经络，病久不愈，血行痹
阻，治宜祛风散寒胜湿配合活血化瘀之品。方中防风
与川乌相配，祛风胜湿，散寒止痛；五灵脂化瘀通络。
使瘀去络通，则风寒湿邪得以宣散。",
金•李东垣（约刊于1336）,散,外,2958.0,太阳经嚏药,《兰室秘藏》卷下,防风0.6g  羌活0．9g  红豆2个,0.6g ,祛风止痛。,祛风解表(头痛),太阳头痛。,上为细末。,鼻内搐之。,,y ,3.0,,,
朝鲜　明•jin礼蒙（1443）,煮散,内,4400.0,玉屏风散,"《简易方3S以究原方》见
    《医方类聚》卷一五O",防风30g  黄芪(蜜炙)  白术各60g,30g,补肺益气，固表止汗。,祛风解表(防虚感),"表虚自汗，以及虚人腠理不密，易于感
  冒，汗出恶风，面色犹白，舌质淡苔薄白，脉浮缓。","上叹咀。每次9g，用水220ml，加大枣
1枚，煎至160ml，去滓。",食后热服。,,y,3.0,,"方中黄耆补肺益气，固表止汗，是为君
药；白术补气健脾，与黄耆合用，可增强固表止汗之
功，是为臣药；防风走肌表而散风邪，是为佐药：大枣
补脾胃，益气血，调营卫，是为使药。配合成方，固表
而不留邪，祛邪而不伤正。对肺脾气虚，肌表不固，自
汗时出，以及气虚感冒，见证如上者，用之颇宜。",
宋•许叔微撰。约刊行于绍兴二年(1132)。,煮散,内,6438.0,地仙散,《普济本事方》卷四,地骨皮  防风各30g  炙甘草7.5g,30g ,祛风退热,祛风解表(外感风邪),外感风邪，内有伏热，骨蒸肌热。,"上为细末。每次6g，用水150m1，加生
姜3片，竹叶7片，煎至105ml，去滓。", 温服。,,y,3.0,,,
宋•宋周应,煮散,内,6591.0,地骨皮散,《医方类聚》卷十引《简要济众方》  又名地骨皮汤(《圣济总录》卷四十三,地骨皮30g  防风30g  甘草15g(微炙),30g,凉上焦，生津液。,祛风解表(风热),心脏有热，咽干舌涩，面赤潮热。,"上为散。每次6g，用水200ml，加竹叶
  5～7片，同煎至140m1，去滓。", 温服，不拘时候。,,y,3.0,,,
金•刘完素（1186）,煮散,内,8113.0,防风芍药汤 ,《素问病机气宜保命集》卷中,防风  芍药  黄芩各30g,30g,祛风解表，清肠止泻。,祛风解表(泄泻或痢疾有表证),泄泻或痢疾有表证者。,上哎咀。每次15～30g，用水450ml，煎至150m1，去滓。,温服。,,y,3.0,,,
唐,散,内,9417.0,牡蛎散,《备急千金要方》卷十,牡蛎  白术  防风各90g,90g,固表止汗。,祛风解表(防虚感),卧即盗汗，风虚头痛。,上为散。,每次3g，用酒调服，一日二次。,,y,3.0,,,
宋•窦材撰于1146年(托名扁鹊所传),煮散,内,11521.0,定风散,《扁鹊心书·神方》,川乌(炮)60g  防风60g  雄黄30g,60g,祛风定痉。,止痉(破伤风),破伤风及牙槽等风。牙关紧急，项背强直，角弓反张。,上为末。,"每次12g，水煎和滓服，一日三次。汗
出愈。若——、二日服此可治，五、七日者难治，须急灸
脐下三百壮。",,y,3.0,,,
清•沈善谦（1847）,汤,外,81.0,一漱汤 ,《喉科心法》卷下,川花椒3g  北细辛3g  香白芷3．6g　青防风6g,6g,祛风止痛。,祛风解表(牙痛),牙痛。,用水200ml，煎取160m1，去滓。,含漱，频含频吐。痛即止。,,y,4.0,,,
元•危亦林,煮散,内,266.0,二黄散,《世医得效方》卷十六,黄芩  大黄  防风  薄荷各15g,15g,疏风散热，清肝泻火。,祛风解表(风热)　目,肝经风热上冲，目中胬肉攀睛。,上锉散。每次9st用水225m1，蜜少许，煎。,食后、临卧温服。,,y,4.0,,,
