" 　　升麻葛根汤
　　出自《太平惠民和剂局方》
　　","【组成】 升麻　芍药　 甘草炙，各十两(300g)    葛根十五两(450g)
　　","【功用】 解肌透疹。
　　","【主治】 麻疹初起。疹发不出，身热头痛,咳嗽，目赤流泪，口渴，舌红，苔薄而干，脉浮数。
　　"
" 　　大黄牡丹汤
　　出自《金匮要略》
　　","【组成】大黄四两(12g) 牡丹一两(3g) 桃仁五十个(9g) 冬瓜仁半升(30g) 芒硝三合(9g)
　　","【功用】泻热破瘀，散结消肿。
　　","【主治】肠痈初起，湿热瘀滞证。右少腹疼痛拒按，按之其痛如淋，甚则局部肿痞，或右足屈而不伸，伸则痛剧，小便自调，或时时发热，自汗恶寒，舌苔薄腻而黄，脉滑数。
　　"
" 　　小青龙汤
　　出自《伤寒论》
　　","【组成】 麻黄去节，三两(9g)　芍药三两(9g)　细辛三两(6g)　干姜三两(6g)　甘草炙，三两(6g)　桂枝去皮，三两(9g)　半夏洗，半升(9g)　五味子半升(6g)
　　","【功用】 解表散寒，温肺化饮。
　　","【主治】 外寒里饮证。恶寒，发热，头身疼痛，无汗，喘咳，痰涎清稀而量多，胸痞，或干呕，或痰饮喘咳，不得平卧，或身体疼重，头面四肢浮肿，舌苔白滑，脉浮。
　　"
" 　　参苏饮
　　出自《太平惠民和剂局方》
　　","【组成】　人参 紫苏叶 干葛洗 半夏汤洗七次，姜汁制炒　 前胡去苗　 茯苓去皮，各三分(6g)　 枳壳去瓤，麸炒　　桔梗去芦　 木香　陈皮去白　甘草炙，各半两(各4g)
　　","【功用】 益气解表，理气化痰。
　　","【主治】 虚人外感风寒，内有痰湿证。恶寒发热，无汗，头痛，鼻塞，咳嗽痰白，胸脘满闷，倦怠无力，气短懒言，舌苔白，脉弱。
　　"
" 　　麻黄细辛附子汤
　　出自《伤寒论》
　　","【组成】 　麻黄去节，二两　(6g)　 附子炮，去皮，一枚，破八片　(9g)　　细辛二两(3g)
　　","【功用】 助阳解表。
　　","【主治】
　　1.素体阳虚，外感风寒证。发热，恶寒甚剧，虽厚衣重被，其寒不解，神疲欲寐，脉沉微。
　　2.暴哑。突发声音嘶哑，甚至失音不语，或咽喉疼痛，恶寒，发热，神疲欲寐，舌淡苔白，脉沉无力。
　　"
" 　　大黄附子汤
　　出自《金匮要略》
　　","【组成】大黄三两(9g) 附子炮，三枚(12g) 细辛二两(3g)
　　","【功用】温里散寒，通便止痛。
　　","【主治】寒积里实证。腹痛便秘，胁下偏痛，发热，手足厥冷，舌苔白腻，脉弦紧。
　　"
" 　　大陷胸汤
　　出自《伤寒论》
　　","【组成】大黄去皮，六两(10g) 芒硝一升(10g) 甘遂一钱匕(1g)
　　","【功用】泻热逐水。
　　","【主治】水热互结之结胸。心下疼痛，拒按，按之硬，或从心下至少腹硬满疼痛，手不可近。伴见短气躁烦，大便秘结，舌上燥而渴，日晡小有潮热，舌红，苔黄腻或兼水滑，脉沉紧或沉迟有力。
　　"
" 　　十枣汤
　　出自《伤寒论》
　　","【组成】芫花熬 甘遂 大戟　各等分
　　","【功用】攻遂水饮。
　　","【主治】
　　1.悬饮。咳唾胸胁引痛，心下痞硬胀满，干呕短气，头痛目眩，或胸背掣痛不得息，舌苔滑，脉沉弦。
　　2.水肿。一身悉肿，尤以身半以下为重，腹胀喘满，二便不利。
　　"
" 　　柴葛解肌汤
　　出自《伤寒六书》
　　","【组成】　柴胡(6g)　 干葛(9g) 甘草(3g) 黄芩(6g) 羌活(3g) 白芷(3g) 芍药(6g)　 桔梗(3g)(原书未著用量)
　　",,
" 　　麻黄杏仁甘草石膏汤
　　出自《伤寒论》
　　","【组成】 麻黄去节，四两(9g) 杏仁去皮尖，五十个(9g) 甘草炙，二两(6g) 石膏碎，绵裹，半斤(18g)
　　","【功用】 辛凉疏表，清肺平喘。
　　","【主治】 外感风邪，邪热壅肺证。身热不解，咳逆气急，甚则鼻煽，口渴，有汗或无汗，舌苔薄白或黄，脉浮而数者。
　　"
