"【方剂名】半夏泻心汤，出自《伤寒论》

	　　","【组成】半夏半升、洗(12g)， 黄芩、干姜、人参各三两(各9g) ，黄连一两(3g) ，大枣十二枚、擘(4枚)，甘草三两、炙(9g)。

	　　","【功效】和胃降逆，开结除痞。

	　　","【主治】胃气不和，心下痞证。心下痞，但满不痛，或呕吐，肠鸣下利，舌苔黄腻，脉弦数。

	　　"
"【方剂名】健脾丸，出自《证治准绳》

	　　","【组成】 白术炒二两半(75g) ，木香另研、黄连酒炒、甘草各七钱半(各22g)， 白茯苓去皮二两(60g)，人参一两半(45g)， 神曲炒，陈皮、砂仁、麦芽炒取面，山楂取肉，山药、肉豆蔻、面裹煨热，纸包捶去油，各一两(各30g)。

	　　","【功效】健脾和胃，消食止泻。

	　　","【主治】脾虚食停证。食少难消，脘腹痞闷，大便溏薄，苔腻微黄，脉虚弱。

	　　"
"【方剂名】肾气丸，出自《金匮要略》

	　　","【组成】干地黄八两(240g) ，薯蓣、山茱萸各四两(各120g)， 泽泻、茯苓、牡丹皮各三两(各90g)，桂枝、附子炮各一两(各30g)。

	　　","【功效】补肾助阳。

	　　","【主治】肾阳不足证。腰痛脚软，身半以下常有冷感，少腹拘急，小便不利，或小便反多，入夜尤甚，阳痿早泄，舌淡而胖，脉虚弱，尺脉沉细，以及痰饮、水肿、消渴、脚气、转胞等。

	　　"
"【方剂名】桑菊饮，出自《温病条辨》

	　　","【组成】桑叶二钱五分(7.5g)， 菊花一钱(3g) ，杏仁二钱(6g)， 桔梗二钱(6g) ，甘草生八分(2.5g) ，薄荷八分(2.5g) ，连翘一钱五分(5g) ，苇根二钱(6g)。

	　　","【功效】疏风清热，宣肺止咳。

	　　","【主治】风温初起。咳嗽，身热不甚，口微渴，脉浮数。

	　　"
"【方剂名】泻白散，出自《小儿药证直诀》

	　　","【组成】地骨皮 桑白皮炒，各一两(各15g) 甘草炙，一钱(3g)

	　　","【功效】清泻肺热，止咳平喘。

	　　","【主治】肺热咳喘证。气喘咳嗽，皮肤蒸热，日晡尤甚，舌红苔黄，脉细数。

	　　"
"【方剂名】瓜蒌薤白白酒汤，出自《金匮要略》

	　　","【组成】瓜蒌实一枚(24g) 薤白半升(12g) 白酒七升(适量)

	　　","【功效】通阳散结，行气祛痰。

	　　","【主治】胸痹证。胸部闷痛，甚或胸痛彻背，喘息咳唾，短气，舌苔白腻，脉沉弦或紧。

	　　"
"【方剂名】苓桂术甘汤，出自《金匮要略》

	　　","【组成】茯苓四两(12g)桂枝去皮，三两(9g) 白术二两(6g) 甘草炙，二两(6g)

	　　","【功效】温阳化饮，健脾利湿。

	　　","【主治】中阳不足之痰饮病。胸胁支满，目眩心悸.或短气而咳，舌苔白滑，脉弦滑。

	　　"
"【方剂名】保和丸，出自《丹溪心法》

	　　","【组成】山楂六两(180g)，半夏、茯苓各三两(各90g)，神曲二两(60g)，陈皮、连翘、莱菔子各一两(各30g)。

	　　","【功效】消食和胃，清热化湿。

	　　","【主治】食积内停。胸脘痞满胀痛，嗳腐吞酸，厌食呕吐，或大便稀溏，苔黄厚腻，脉滑。

	　　"
"【方剂名】川芎茶调散，出自《太平惠民和剂局方》

	　　","【组成】川芎、荆芥去梗各四两(各120g)， 白芷、羌活、甘草各二两(各60g) ，细辛一两(30g) ，防风去芦一两半(45g) ，薄荷不见火八两(240g)。

	　　","【功效】疏风止痛。

	　　","【主治】外感风邪头痛。偏正头痛或巅顶作痛，恶寒发热，目眩鼻塞，舌苔薄白，脉浮。

	　　"
"【方剂名】百合固金汤，出自《慎斋遗书》

	　　","【组成】百合一钱半(4.5g) 熟地黄生地黄 当归身各三钱(各9g) 白芍(6g) 甘草(3g)各一钱桔梗玄参各八分(各2g) 贝母麦冬各一钱半(4.5g)

	　　","【功效】养阴润肺，止咳化痰。

	　　","【主治】肺肾阴虚，虚火上炎证。咳嗽吐痰，或痰中带血，咽喉燥痛，潮热盗汗，舌红少苔，脉细数。

	　　"
